[2026-06-01 05:55:51,326][__main__][INFO] - Epoch 000 | train_total 0.0109 | train_normal 0.0018 | train_anomaly 0.0182 | val_total 0.0106
[2026-06-01 05:55:52,971][__main__][INFO] - Epoch 001 | train_total 0.0103 | train_normal 0.0007 | train_anomaly 0.0193 | val_total 0.0103
[2026-06-01 05:55:54,624][__main__][INFO] - Epoch 002 | train_total 0.0102 | train_normal 0.0004 | train_anomaly 0.0196 | val_total 0.0102
[2026-06-01 05:55:56,267][__main__][INFO] - Epoch 003 | train_total 0.0102 | train_normal 0.0003 | train_anomaly 0.0197 | val_total 0.0102
[2026-06-01 05:55:57,913][__main__][INFO] - Epoch 004 | train_total 0.0101 | train_normal 0.0003 | train_anomaly 0.0197 | val_total 0.0101
[2026-06-01 05:55:59,556][__main__][INFO] - Epoch 005 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:56:01,194][__main__][INFO] - Epoch 006 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:56:02,861][__main__][INFO] - Epoch 007 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:56:04,507][__main__][INFO] - Epoch 008 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:56:06,151][__main__][INFO] - Epoch 009 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 06:30:01,015][__main__][INFO] - Epoch 000 | train_total 0.0108 | train_normal 0.0016 | train_anomaly 0.0184 | val_total 0.0105
[2026-06-01 06:30:02,694][__main__][INFO] - Epoch 001 | train_total 0.0102 | train_normal 0.0005 | train_anomaly 0.0195 | val_total 0.0101
[2026-06-01 06:30:04,376][__main__][INFO] - Epoch 002 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 06:30:06,048][__main__][INFO] - Epoch 003 | train_total 0.0101 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 06:30:07,725][__main__][INFO] - Epoch 004 | train_total 0.0100 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 06:30:09,405][__main__][INFO] - Epoch 005 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:30:11,091][__main__][INFO] - Epoch 006 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:30:12,768][__main__][INFO] - Epoch 007 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:30:14,451][__main__][INFO] - Epoch 008 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:30:16,153][__main__][INFO] - Epoch 009 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
