[2026-06-01 11:13:46,034][__main__][INFO] - Epoch 000 | train_total 0.0108 | train_normal 0.0016 | train_anomaly 0.0184 | val_total 0.0105
[2026-06-01 11:13:47,761][__main__][INFO] - Epoch 001 | train_total 0.0102 | train_normal 0.0005 | train_anomaly 0.0195 | val_total 0.0101
[2026-06-01 11:13:49,438][__main__][INFO] - Epoch 002 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 11:13:51,114][__main__][INFO] - Epoch 003 | train_total 0.0101 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 11:13:52,794][__main__][INFO] - Epoch 004 | train_total 0.0100 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 11:13:54,615][__main__][INFO] - Epoch 005 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:13:56,290][__main__][INFO] - Epoch 006 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:13:57,972][__main__][INFO] - Epoch 007 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:13:59,651][__main__][INFO] - Epoch 008 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:14:01,336][__main__][INFO] - Epoch 009 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:14:03,021][__main__][INFO] - Epoch 010 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:14:04,699][__main__][INFO] - Epoch 011 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:14:06,380][__main__][INFO] - Epoch 012 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:14:08,059][__main__][INFO] - Epoch 013 | train_total 0.0100 | train_normal 0.0001 | train_anomaly 0.0197 | val_total 0.0102
[2026-06-01 11:14:09,739][__main__][INFO] - Epoch 014 | train_total 0.0098 | train_normal 0.0002 | train_anomaly 0.0192 | val_total 0.0102
[2026-06-01 11:14:11,412][__main__][INFO] - Epoch 015 | train_total 0.0094 | train_normal 0.0003 | train_anomaly 0.0183 | val_total 0.0102
[2026-06-01 11:14:13,097][__main__][INFO] - Epoch 016 | train_total 0.0088 | train_normal 0.0002 | train_anomaly 0.0172 | val_total 0.0109
[2026-06-01 11:14:14,772][__main__][INFO] - Epoch 017 | train_total 0.0090 | train_normal 0.0003 | train_anomaly 0.0174 | val_total 0.0104
[2026-06-01 11:14:16,449][__main__][INFO] - Epoch 018 | train_total 0.0079 | train_normal 0.0002 | train_anomaly 0.0156 | val_total 0.0138
[2026-06-01 11:14:18,132][__main__][INFO] - Epoch 019 | train_total 0.0072 | train_normal 0.0001 | train_anomaly 0.0143 | val_total 0.0147
[2026-06-01 11:14:19,806][__main__][INFO] - Epoch 020 | train_total 0.0068 | train_normal 0.0000 | train_anomaly 0.0135 | val_total 0.0149
[2026-06-01 11:14:21,495][__main__][INFO] - Epoch 021 | train_total 0.0065 | train_normal 0.0000 | train_anomaly 0.0129 | val_total 0.0147
[2026-06-01 11:14:23,193][__main__][INFO] - Epoch 022 | train_total 0.0081 | train_normal 0.0016 | train_anomaly 0.0131 | val_total 0.0121
[2026-06-01 11:14:24,885][__main__][INFO] - Epoch 023 | train_total 0.0067 | train_normal 0.0001 | train_anomaly 0.0131 | val_total 0.0124
[2026-06-01 11:14:26,571][__main__][INFO] - Epoch 024 | train_total 0.0067 | train_normal 0.0003 | train_anomaly 0.0128 | val_total 0.0130
[2026-06-01 11:14:28,435][__main__][INFO] - Epoch 025 | train_total 0.0065 | train_normal 0.0001 | train_anomaly 0.0126 | val_total 0.0139
[2026-06-01 11:14:30,102][__main__][INFO] - Epoch 026 | train_total 0.0072 | train_normal 0.0003 | train_anomaly 0.0138 | val_total 0.0128
[2026-06-01 11:14:31,785][__main__][INFO] - Epoch 027 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:14:33,473][__main__][INFO] - Epoch 028 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:14:35,193][__main__][INFO] - Epoch 029 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:14:36,912][__main__][INFO] - Epoch 030 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:14:38,636][__main__][INFO] - Epoch 031 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
